filename,github_url,original_pdf_url
nserve_annual_financial_report_june_30__2025.txt,https://github.com/rkeller370/pdftest/blob/main/output/nserve_annual_financial_report_june_30__2025.txt,https://maine207.org/wp-content/uploads/2025/11/NSERVE-Annual-Financial-Report-June-30-2025.pdf
2025_26_printable_school_calendar_for_parents.txt,https://github.com/rkeller370/pdftest/blob/main/output/2025_26_printable_school_calendar_for_parents.txt,https://maine207.org/wp-content/uploads/2018/06/2025_26calendar.pdf
us_constitution_test_review.txt,https://github.com/rkeller370/pdftest/blob/main/output/us_constitution_test_review.txt,https://east.maine207.org/wp-content/uploads/sites/2/2018/03/Maine-East-United-States-Constitution-Test-Review.pdf
religious_exemption_form.txt,https://github.com/rkeller370/pdftest/blob/main/output/religious_exemption_form.txt,https://east.maine207.org/wp-content/uploads/sites/2/2018/03/religious_exemption_form_for_parents.pdf
corrected_maine_east_rings_2028__1_.txt,https://github.com/rkeller370/pdftest/blob/main/output/corrected_maine_east_rings_2028__1_.txt,https://east.maine207.org/wp-content/uploads/sites/2/2025/09/Corrected-MAINE-EAST-Rings-2028-1.pdf
asthma_action_plan.txt,https://github.com/rkeller370/pdftest/blob/main/output/asthma_action_plan.txt,https://east.maine207.org/wp-content/uploads/sites/2/2018/03/asthma_action_plan.pdf
dental_exam_form.txt,https://github.com/rkeller370/pdftest/blob/main/output/dental_exam_form.txt,https://east.maine207.org/wp-content/uploads/sites/2/2020/01/Dental-2020-English.pdf
full_brochure.txt,https://github.com/rkeller370/pdftest/blob/main/output/full_brochure.txt,https://east.maine207.org/wp-content/uploads/sites/2/2018/03/Partners-in-Success-Maine-207-Internship-Program.pdf
food_allergy_emergency_action_plan.txt,https://github.com/rkeller370/pdftest/blob/main/output/food_allergy_emergency_action_plan.txt,https://east.maine207.org/wp-content/uploads/sites/2/2018/03/food_allergy_emer_action_plan.pdf
seizure_action_plan.txt,https://github.com/rkeller370/pdftest/blob/main/output/seizure_action_plan.txt,https://east.maine207.org/wp-content/uploads/sites/2/2018/03/seizure-action-plan.pdf
behavior_support_and_code_of_conduct.txt,https://github.com/rkeller370/pdftest/blob/main/output/behavior_support_and_code_of_conduct.txt,https://maine207.org/wp-content/uploads/2019/07/Discipline_Procedures_2019_2020_Final.docx.pdf
student_accident_insurance.txt,https://github.com/rkeller370/pdftest/blob/main/output/student_accident_insurance.txt,https://maine207.org/wp-content/uploads/2024/05/Voluntary-Online-Form.pdf
patricia_callahan___wall_of_honor_bio.txt,https://github.com/rkeller370/pdftest/blob/main/output/patricia_callahan___wall_of_honor_bio.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/11/Callahan-plaque-2.pdf
ray_ozzie___wall_of_honor_bio.txt,https://github.com/rkeller370/pdftest/blob/main/output/ray_ozzie___wall_of_honor_bio.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/11/OzziePlaque.pdf
nathan_hultman___wall_of_honor_bio.txt,https://github.com/rkeller370/pdftest/blob/main/output/nathan_hultman___wall_of_honor_bio.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/11/Nathan-Hultman-plaque.pdf
mark_filip___wall_of_honor_bio.txt,https://github.com/rkeller370/pdftest/blob/main/output/mark_filip___wall_of_honor_bio.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/11/FilipPlaque.pdf
hillary_rodham_clinton___wall_of_honor_bio.txt,https://github.com/rkeller370/pdftest/blob/main/output/hillary_rodham_clinton___wall_of_honor_bio.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/11/hillary-plaque.pdf
dante_amidei___wall_of_honor_bio.txt,https://github.com/rkeller370/pdftest/blob/main/output/dante_amidei___wall_of_honor_bio.txt,https://south.maine207.org/wp-content/uploads/sites/3/2021/09/Dante-Amidei-plaque-final.pdf
school_resource_officer___uniform_grievance_procedure.txt,https://github.com/rkeller370/pdftest/blob/main/output/school_resource_officer___uniform_grievance_procedure.txt,https://maine207.org/wp-content/uploads/2018/06/School-Resource-Officer-_-Uniform-Grievance-Procedure.pdf
dr__ravi_salgia___wall_of_honor_bio.txt,https://github.com/rkeller370/pdftest/blob/main/output/dr__ravi_salgia___wall_of_honor_bio.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/11/Ravi-Salgia-plaque-w-editted-pic.pdf
view_or_download_the_pdf_version_of_the_2025_26_maine_west_profile.txt,https://github.com/rkeller370/pdftest/blob/main/output/view_or_download_the_pdf_version_of_the_2025_26_maine_west_profile.txt,https://west.maine207.org/wp-content/uploads/sites/4/2025/09/MaineWest-Profile-2025-26-Proof2.pdf
george_brandt___wall_of_honor_bio.txt,https://github.com/rkeller370/pdftest/blob/main/output/george_brandt___wall_of_honor_bio.txt,https://south.maine207.org/wp-content/uploads/sites/3/2021/09/George-Brandt-plaque-final.pdf
brian_humm___wall_of_honor_bio.txt,https://github.com/rkeller370/pdftest/blob/main/output/brian_humm___wall_of_honor_bio.txt,https://south.maine207.org/wp-content/uploads/sites/3/2021/09/Brian-Humm-plaque-final.pdf
dr__susan_lindquist___wall_of_honor_bio.txt,https://github.com/rkeller370/pdftest/blob/main/output/dr__susan_lindquist___wall_of_honor_bio.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/11/Susan-Lindquist-plaque-black-top.pdf
maine_207_parent_right_to_know_educator_qualifications.txt,https://github.com/rkeller370/pdftest/blob/main/output/maine_207_parent_right_to_know_educator_qualifications.txt,https://maine207.org/wp-content/uploads/sites/3/2018/05/Maine-207-Parent-Right-to-Know-Educator-Qualifications.pdf
maine_207_student_and_family_privacy_rights.txt,https://github.com/rkeller370/pdftest/blob/main/output/maine_207_student_and_family_privacy_rights.txt,https://maine207.org/wp-content/uploads/sites/3/2018/05/Maine-207-Student-and-Family-Privacy-Rights.pdf
maine_west_pace.txt,https://github.com/rkeller370/pdftest/blob/main/output/maine_west_pace.txt,https://maine207.org/wp-content/uploads/2025/08/Maine_West_PACE.pdf
maine_207_teen_dating_violence_prohibited_policy.txt,https://github.com/rkeller370/pdftest/blob/main/output/maine_207_teen_dating_violence_prohibited_policy.txt,https://maine207.org/wp-content/uploads/sites/3/2018/05/Maine-207-Teen-Dating-Violence-Prohibited-Policy.pdf
maine_207_sexual_harassment_policy.txt,https://github.com/rkeller370/pdftest/blob/main/output/maine_207_sexual_harassment_policy.txt,https://maine207.org/wp-content/uploads/sites/3/2018/05/Maine-207-Sexual-Harassment-Policy.pdf
maine_207_temporary_living_situations.txt,https://github.com/rkeller370/pdftest/blob/main/output/maine_207_temporary_living_situations.txt,https://maine207.org/wp-content/uploads/2018/06/Maine-207-Temporary-Living-Situations.pdf
asthma_action_plan.txt,https://github.com/rkeller370/pdftest/blob/main/output/asthma_action_plan.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/08/Asthma-Health-Care-Plan-Final-2.pdf
mshs_stage___screen_booster_qr_code_flyer_for_payment__including_electronic_info_.txt,https://github.com/rkeller370/pdftest/blob/main/output/mshs_stage___screen_booster_qr_code_flyer_for_payment__including_electronic_info_.txt,https://south.maine207.org/wp-content/uploads/sites/3/2022/07/MS-SDB-Boosters-QR-Code-Flyer.pdf
health___wellness_courses_flow_chart.txt,https://github.com/rkeller370/pdftest/blob/main/output/health___wellness_courses_flow_chart.txt,https://south.maine207.org/wp-content/uploads/sites/3/2024/10/Health-and-Wellness-Courses-Sheet1.pdf
2025_26_student_accident_voluntary_online_form_english.txt,https://github.com/rkeller370/pdftest/blob/main/output/2025_26_student_accident_voluntary_online_form_english.txt,https://maine207.org/wp-content/uploads/2025/07/2025-26-Student-Accident-Voluntary-Online-Form-English.pdf
food_allergy_emergency_action_plan.txt,https://github.com/rkeller370/pdftest/blob/main/output/food_allergy_emergency_action_plan.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/08/Final-Food-Allergy-Health-Care-Emergency-Plan.pdf
religious_exemption_form.txt,https://github.com/rkeller370/pdftest/blob/main/output/religious_exemption_form.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/08/Illinois-Certificate-of-Religious-Exemption-1.pdf
pass_fail_formprocedures.txt,https://github.com/rkeller370/pdftest/blob/main/output/pass_fail_formprocedures.txt,https://maine207.org/wp-content/uploads/2019/07/Pass-Fail-FormProcedures.pdf
certificate_of_child_health_examination.txt,https://github.com/rkeller370/pdftest/blob/main/output/certificate_of_child_health_examination.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/07/Start-of-School-Child-Health-Exam-final-11_15.pdf
science_department_course_map.txt,https://github.com/rkeller370/pdftest/blob/main/output/science_department_course_map.txt,https://south.maine207.org/wp-content/uploads/sites/3/2024/10/Science-Department-Course-Map-2025-2026.pdf
authorization_and_permission_for_medication.txt,https://github.com/rkeller370/pdftest/blob/main/output/authorization_and_permission_for_medication.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/08/Authorization-and-Permission-for-Medication.pdf
seizure_health_care_plan.txt,https://github.com/rkeller370/pdftest/blob/main/output/seizure_health_care_plan.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/08/Seizure-Health-Care-Plan.pdf
mshs_stage___screen_booster_membership_form.txt,https://github.com/rkeller370/pdftest/blob/main/output/mshs_stage___screen_booster_membership_form.txt,https://south.maine207.org/wp-content/uploads/sites/3/2023/08/MusicBoosterMembershipLetterForm2023-24-Google-Docs-11.48.25-AM.pdf
proof_of_dental_exam_form.txt,https://github.com/rkeller370/pdftest/blob/main/output/proof_of_dental_exam_form.txt,https://south.maine207.org/wp-content/uploads/sites/3/2020/01/Dental-2020-English.pdf
who_are_homeless_children___youth_.txt,https://github.com/rkeller370/pdftest/blob/main/output/who_are_homeless_children___youth_.txt,https://maine207.org/wp-content/uploads/2021/06/MV-Information-Updated.pdf
parent_guide_for_the_class_of_2030.txt,https://github.com/rkeller370/pdftest/blob/main/output/parent_guide_for_the_class_of_2030.txt,https://south.maine207.org/wp-content/uploads/sites/3/2025/10/Maine-South-Parent-Guide-2025-16pg-Proof-6.pdf
diabetes_medicatioal_management_plan.txt,https://github.com/rkeller370/pdftest/blob/main/output/diabetes_medicatioal_management_plan.txt,https://south.maine207.org/wp-content/uploads/sites/3/2018/08/Diabetes-Medical-Managment-Plan-1.pdf
